,userId,movieId,title,tag,rating,tag_amount
0,2,60756,Step Brothers (2008),funny / Highly quotable / will ferrell,5.0,3
1,2,89774,Warrior (2011),Boxing story / MMA / Tom Hardy,5.0,3
2,2,106782,"Wolf of Wall Street, The (2013)",drugs / Leonardo DiCaprio / Martin Scorsese,5.0,3
3,7,48516,"Departed, The (2006)",way too long,1.0,1
4,18,431,Carlito's Way (1993),Al Pacino / gangster / mafia,4.0,3
5,18,1221,"Godfather: Part II, The (1974)",Al Pacino / Mafia,5.0,2
6,18,5995,"Pianist, The (2002)",holocaust / true story,4.5,2
7,18,44665,Lucky Number Slevin (2006),twist ending,4.5,1
8,18,52604,Fracture (2007),Anthony Hopkins / courtroom drama / twist ending,4.5,3
9,18,88094,Upside Down: The Creation Records Story (2010),britpop / indie record label / music,3.0,3
10,18,144210,Just Eat It: A Food Waste Story (2014),dumpster diving / Sustainability,4.0,2
11,21,1569,My Best Friend's Wedding (1997),romantic comedy / wedding,,2
12,21,118985,Big Eyes (2014),painter,,1
13,21,119141,The Interview (2014),bloody,0.5,1
14,49,109487,Interstellar (2014),black hole / sci-fi / time-travel,4.5,3
15,62,2,Jumanji (1995),fantasy / magic board game / Robin Williams,4.0,3
16,62,110,Braveheart (1995),beautiful scenery / epic / historical / inspirational / Medieval / mel gibson / Oscar (Best Cinematography) / revenge / sword fight,4.5,9
17,62,410,Addams Family Values (1993),black comedy / Christina Ricci / Christopher Lloyd / dark comedy / family / gothic,4.5,6
18,62,2023,"Godfather: Part III, The (1990)",Al Pacino / Andy Garcia / Classic / Francis Ford Coppola / mafia,5.0,5
19,62,2124,"Addams Family, The (1991)",black comedy / Christina Ricci / Christopher Lloyd / Family / gothic / quirky,5.0,6
20,62,2953,Home Alone 2: Lost in New York (1992),family / funny / Macaulay Culkin / sequel,3.5,4
21,62,3114,Toy Story 2 (1999),animation / Disney / funny / original / Pixar / sequel / Tom Hanks,3.0,7
22,62,3578,Gladiator (2000),ancient Rome / Epic / history / imdb top 250 / revenge / Rome / Russell Crowe,4.5,7
23,62,4223,Enemy at the Gates (2001),Ed Harris / Jude Law / Rachel Weisz / sniper / World War II,4.5,5
24,62,5388,Insomnia (2002),Al Pacino / atmospheric / Hilary Swank / Robin Williams,4.5,4
25,62,6058,Final Destination 2 (2003),sequel / violent,3.5,2
26,62,6534,Hulk (2003),dogs / Eric Bana / mad scientist / marvel,3.5,4
27,62,6541,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",captain nemo / comic book / gothic / Peta Wilson / Sean Connery / superhero,3.5,6
28,62,6564,Lara Croft Tomb Raider: The Cradle of Life (2003),adventure / Angelina Jolie / heroine in tight suit,3.5,3
29,62,7153,"Lord of the Rings: The Return of the King, The (2003)",Adventure / ensemble cast / fantasy / fantasy world / great soundtrack / lord of the rings / scenic / stylized / Tolkien,5.0,9
30,62,8641,Anchorman: The Legend of Ron Burgundy (2004),hilarious / Steve Carell / Will Ferrell,4.0,3
31,62,27660,"Animatrix, The (2003)",animation / anime / cyberpunk / dark / Matrix / sci-fi,4.5,6
32,62,27706,Lemony Snicket's A Series of Unfortunate Events (2004),dark comedy / Jim Carrey / meryl streep / quirky / stylized,4.0,5
33,62,27808,Spanglish (2004),Adam Sandler / family / sweet,4.0,3
34,62,27831,Layer Cake (2004),British gangster / confusing / daniel craig / Exquisite plotting. / organized crime / stylish / Tom Hardy,4.5,7
35,62,31658,Howl's Moving Castle (Hauru no ugoku shiro) (2004),anime / fantasy world / Hayao Miyazaki / Studio Ghibli,3.5,4
36,62,33162,Kingdom of Heaven (2005),David Thewlis / Eva Green / Liam Neeson / Orlando Bloom,4.0,4
37,62,34150,Fantastic Four (2005),Chris Evans / comic book / heroine in tight suit / Jessica Alba / sexy female scientist / superhero,3.0,6
38,62,37729,Corpse Bride (2005),gothic / helena bonham carter / Johnny Depp / Tim Burton / visually appealing,4.0,5
39,62,38061,Kiss Kiss Bang Bang (2005),black comedy / clever / fast-paced dialogue / good dialogue / Robert Downey Jr. / witty,4.0,6
40,62,45447,"Da Vinci Code, The (2006)",adventure / Audrey Tautou / conspiracy theory / Mystery / Paris / Tom Hanks / treasure hunt,3.5,7
